Client ID,Client Name,Team,Recency,Frequency,Monetary Value,Subscription Length,AVG Month,รายได้/เดือน,Sale Volume,Lost Type,Lost Reason Criteria,Sale Volume Count,New Sales,Recontract,Recontract (Delay),Upgrade,Upsell,Win Back,Cluster
CL0986,บริษัท จีอาร์ที อีโคซิสเต็ม จำกัด,Draco,32,1,270000.0,2,32,8437.5,New Sales,,,1,1,0,0,0,0,0,1
CL0997,บริษัท กัลเดอร์มา (ประเทศไทย) จำกัด,Other,33,1,180000.0,1,33,5454.545454545455,New Sales,,,1,1,0,0,0,0,0,1
CL0998,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),Pegasus,27,1,30000.0,6,27,1111.111111111111,New Sales,,,1,1,0,0,0,0,0,1
CL0999,บริษัท ไลค์ มี จำกัด (สำนักงานใหญ่),Solar,1,2,340000.0,31,19,17894.736842105263,"New Sales, Win Back",,,2,1,0,0,0,0,1,3
CL1000,บริษัท จุตะ จำกัด ,Pegasus,33,1,342990.65,2,33,10393.65606060606,New Sales,,,1,1,0,0,0,0,0,1
CL1004,บริษัท มายเดอรี จำกัด,Lunar,20,4,565000.0,13,25,22600.0,"New Sales, New Sales, Win Back, Recontract (Delay)",,,4,2,0,1,0,0,1,4
CL1005,บริษัท มีเดียโดนัทส์ อินเตอร์เนชั่นแนล จำกัด (สำนักงานใหญ่),Other,31,2,600000.0,0,31,19354.83870967742,"New Sales, New Sales",,,2,2,0,0,0,0,0,1
CL1006,กระทรวงการต่างประเทศ ,Draco,12,2,502000.0,21,20,25100.0,"New Sales, Win Back",,,2,1,0,0,0,0,1,3
CL1007,บริษัท ไบรท์ไซด์ พีเพิล จํากัด (สำนักงานใหญ่),Other,33,1,9345.79,0,33,283.2057575757576,New Sales,,,1,1,0,0,0,0,0,1
CL1008,บริษัท แลนดี้ โฮม (ประเทศไทย) จำกัด,Lunar,20,2,300000.0,12,25,12000.0,"New Sales, New Sales",,,2,2,0,0,0,0,0,4
CL1009,บริษัท หลักทรัพย์ ไทยพาณิชย์ จำกัด,Pegasus,26,1,280000.0,7,29,9655.172413793103,New Sales,,,1,1,0,0,0,0,0,1
CL1013,บริษัท ชาวาว่า จำกัด [สำนักงานใหญ่] ,Draco,20,1,362400.0,12,26,13938.46153846154,New Sales,,,1,1,0,0,0,0,0,1
CL1014,บริษัท พีเอสโอ สเปซ จำกัด,Other,31,1,27000.0,1,31,870.9677419354839,New Sales,,,1,1,0,0,0,0,0,1
CL1015,บริษัท เอฟ ไฟว์ เทค จำกัด,Lunar,23,1,600000.0,12,27,22222.222222222223,New Sales,,,1,1,0,0,0,0,0,1
CL1016,บริษัท ดิจิ-โฮลิค.แลบส์ จำกัด,Lunar,26,1,223800.0,6,30,7460.0,New Sales,,,1,1,0,0,0,0,0,1
CL1017,บริษัท พรูเด็นเชียล ประกันชีวิต (ประเทศไทย) จำกัด (มหาชน),Solar,2,4,1056000.0,30,15,70400.0,"New Sales, Recontract, Win Back, Recontract (Delay)",หมดสัญญาปกติ,ตัด/ลด งบ,4,1,1,1,0,0,1,3
CL1019,บริษัท ดับเบิ้ลยู เค ออล จำกัด (สำนักงานใหญ่),Lunar,17,1,348000.0,12,23,15130.434782608696,New Sales,,,1,1,0,0,0,0,0,4
CL1020,บริษัท ฉั่วฮะเส็ง ฟู้ดโปรดักส์ จำกัด,Pegasus,19,1,200000.0,12,19,10526.315789473683,New Sales,,,1,1,0,0,0,0,0,4
CL1021,สถาบันเพิ่มผลผลิตแห่งชาติ,Pegasus,19,1,100000.0,12,19,5263.1578947368425,New Sales,,,1,1,0,0,0,0,0,4
CL1022,ราชวิทยาลัยจุฬาภรณ์,Other,26,1,372000.0,6,26,14307.692307692309,New Sales,,,1,1,0,0,0,0,0,1
CL1025,นางสาวอมรรัตน์ ศรีปัดทุม,Draco,13,2,482400.0,18,20,24120.0,"New Sales, Recontract",,,2,1,1,0,0,0,0,4
CL1026,บริษัท ชินเอ เซอร์วิส จำกัด,Draco,19,1,408000.0,12,21,19428.571428571428,New Sales,,,1,1,0,0,0,0,0,4
CL1028,บริษัท เอดีเอ ดิจิตัล (ประเทศไทย) จำกัด,Lunar,19,1,348000.0,12,24,14500.0,New Sales,,,1,1,0,0,0,0,0,4
CL1030,บริษัท จิซทิกซ์ จำกัด,Other,25,1,140000.0,5,27,5185.185185185185,New Sales,,,1,1,0,0,0,0,0,1
CL1031,บริษัท แอ็ทโมสท์ สตูดิโอ จำกัด,Other,22,2,187600.0,6,25,7504.0,"New Sales, New Sales",,,2,2,0,0,0,0,0,4
CL1033,สำนักงานคณะกรรมการสุขภาพแห่งชาติ,Lunar,17,1,366500.0,12,23,15934.782608695652,New Sales,,,1,1,0,0,0,0,0,4
CL1034,บริษัท โมโมทาโร่ จำกัด,Solar,19,1,360000.0,12,25,14400.0,New Sales,,,1,1,0,0,0,0,0,4
CL1035,นายสุภสิทธิ กระทุ่มเขต,Pegasus,25,1,260000.0,6,27,9629.62962962963,New Sales,,,1,1,0,0,0,0,0,1
CL1036,บริษัท ดีแอล อินเตอร์ เอ็นเตอร์ไพร์ส จํากัด,Draco,7,2,780000.0,24,21,37142.857142857145,"New Sales, Recontract",,,2,1,1,0,0,0,0,3
CL1039,บริษัท อิมแพคท์ มาร์คอม จำกัด,Other,27,1,32400.0,3,27,1200.0,New Sales,,,1,1,0,0,0,0,0,1
CL1040,บริษัท โซนี่ มิวสิค เอนเทอร์เทนเมนต์ โอเปอร์เรติ้ง (ประเทศไทย) จำกัด,Lunar,23,1,100000.0,5,23,4347.826086956522,New Sales,,,1,1,0,0,0,0,0,4
CL1042,บริษัท เพนกวิน ดิจิตอล จำกัด (สำนักงานใหญ่) ,Draco,19,1,1027600.0,12,23,44678.260869565216,New Sales,,,1,1,0,0,0,0,0,4
CL1044,บริษัท ซิปเม็กซ์ เทคโนโลยี จำกัด,Solar,19,2,207500.0,12,22,9431.818181818182,"New Sales, Win Back",,,2,1,0,0,0,0,1,4
CL1046,คุณต่าย (Freelance Agency),Draco,18,1,212000.0,12,21,10095.238095238095,New Sales,,,1,1,0,0,0,0,0,4
CL1048,กองทุนพัฒนาสื่อปลอดภัยและสร้างสรรค์,Lunar,24,1,1120560.75,5,24,46690.03125,New Sales,,,1,1,0,0,0,0,0,1
CL1052,บริษัท กอล์ฟ เขาใหญ่ จำกัด (สำนักงานใหญ่),Solar,24,1,260000.0,6,24,10833.333333333334,New Sales,,,1,1,0,0,0,0,0,1
CL1053,กองทุนรวม สิทธิการเช่าอสังหาริมทรัพย์ ซี.พี.ทาวเวอร์โกรท,Pegasus,4,7,1157000.0,25,16,72312.5,"New Sales, New Sales, Recontract, Win Back, Recontract (Delay), Recontract (Delay), Win Back",,,7,2,1,2,0,0,2,3
CL1054,บริษัท เอ็น เอส ดี นิวรอน จำกัด,Lunar,17,1,186900.0,12,26,7188.461538461538,New Sales,,,1,1,0,0,0,0,0,4
CL1058,บริษัท ฟินบรอดแคสติ้ง จำกัด (สำนักงานใหญ่),Draco,14,1,72000.0,12,14,5142.857142857143,New Sales,,,1,1,0,0,0,0,0,4
CL1059,มหาวิทยาลัยสงขลานครินทร์,Lunar,23,1,192000.0,6,26,7384.615384615385,New Sales,,,1,1,0,0,0,0,0,1
CL1069,บริษัท พรเกษม กรุ๊ป จำกัด,Lunar,18,1,260000.0,7,20,13000.0,New Sales,,,1,1,0,0,0,0,0,4
CL1070,บริษัท กรุ๊ปเอ็ม (ประเทศไทย) จำกัด - เอ็มซิกซ์,Solar,23,1,324000.0,6,25,12960.0,New Sales,,,1,1,0,0,0,0,0,1
CL1072,บริษัท ชาเนล (ประเทศไทย) จำกัด,Lunar,7,4,595000.0,19,14,42500.0,"New Sales, Recontract (Delay), Win Back, Win Back",หมดสัญญาปกติ,ไม่มีเวลา/คนใช้งาน,4,1,0,1,0,0,2,3
CL1074,รัตนพรรณ วิไลวัลย์,Pegasus,25,1,252000.0,3,26,9692.307692307691,New Sales,,,1,1,0,0,0,0,0,1
CL1075,"SI LABS CO., LTD.",Lunar,16,1,380000.0,12,21,18095.23809523809,New Sales,,,1,1,0,0,0,0,0,4
CL1079,บริษัท ไทย ฟินเทค จำกัด,Draco,14,2,415000.0,14,22,18863.636363636364,"New Sales, Recontract",,,2,1,1,0,0,0,0,4
CL1082,Amazon Asia-Pacific Holdings Private Limited,Lunar,8,2,1892000.0,20,15,126133.33333333331,"New Sales, Recontract",หมดสัญญาปกติ,อื่นๆ,2,1,1,0,0,0,0,3
CL1084,บริษัท ไอแอนด์ไอ กรุ๊ป จำกัด (มหาชน),Lunar,14,1,975000.0,13,14,69642.85714285714,New Sales,,,1,1,0,0,0,0,0,4
CL1085,บริษัท สามารถเทลคอม จำกัด (มหาชน),Other,28,1,37383.18,1,28,1335.1135714285715,New Sales,,,1,1,0,0,0,0,0,1
CL1088,บริษัท ลูกคิด จำกัด ,Other,27,1,45000.0,0,27,1666.6666666666667,New Sales,,,1,1,0,0,0,0,0,1
CL1089,บริษัท กราฟีน ครีเอชั่นส์ จำกัด(สำนักงานใหญ่),Lunar,26,1,280000.0,2,26,10769.23076923077,New Sales,,,1,1,0,0,0,0,0,1
CL1090,บริษัท เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด,Draco,5,2,720000.0,21,14,51428.57142857143,"New Sales, Win Back",,,2,1,0,0,0,0,1,3
